,class,country,countrycode,dead_during_wave,population,si_integral_during_wave,t0_10_dead,tests_during_wave,wave,wave_end,wave_start,class_coarse,si_integral,last_dead_per_10k,last_tests_per_10k,si_response_time,c1_response_time,c2_response_time,c3_response_time,c4_response_time,c5_response_time,c6_response_time,c7_response_time,c8_response_time,h2_response_time,h3_response_time,testing_response_time_1,testing_response_time_10,testing_response_time_100,testing_response_time_1000
220,4.0,Mali,MLI,188.0,19658031.0,6116.584999999999,2021-03-02,0.0,2.0,2021-07-01,2021-02-20,EPI_SECOND_WAVE,25822.434999999998,0.26706642186086693,0.0,-21.0,-27.0,247.0,-21.0,,,,-21.0,-21.0,239.0,-1.0,,,,
221,2.0,Malta,MLT,420.0,502653.0,27257.95,2020-08-22,985302.0,1.0,2021-07-01,2020-03-07,EPI_FIRST_WAVE,30932.14,8.35566484234651,19607.621957891428,-157.0,-162.0,201.0,-163.0,-147.0,,-147.0,-141.0,-154.0,-150.0,-210.0,-179.0,-167.0,-148.0,-99.0
222,3.0,Myanmar,MMR,3206.0,54045420.0,30455.49,2020-09-09,2548503.5652173916,1.0,2021-04-20,2020-03-24,EPI_SECOND_WAVE,40280.130000000005,0.6192939198178125,503.2367220016053,-161.0,-169.0,-152.0,-180.0,-145.0,-155.0,-148.0,-161.0,17.0,51.0,51.0,-139.0,-84.0,46.0,
223,3.0,Myanmar,MMR,0.0,54045420.0,9221.32,2021-05-19,0.0,2.0,2021-09-19,2021-04-20,EPI_SECOND_WAVE,40280.130000000005,0.6192939198178125,503.2367220016053,-161.0,-169.0,-152.0,-180.0,-145.0,-155.0,-148.0,-161.0,17.0,51.0,51.0,-139.0,-84.0,46.0,
224,2.0,Montenegro,MNE,1610.0,622137.0,,2020-06-29,0.0,1.0,2021-07-01,2020-03-17,EPI_FIRST_WAVE,,25.87854443635405,0.0,,,,,,,,,,,,,,,
225,5.0,Mozambique,MOZ,139.0,30366036.0,16178.150000000001,2020-07-19,245042.0,1.0,2020-12-11,2020-03-23,EPI_THIRD_WAVE,31157.684999999998,0.2891388260225997,195.71685286811885,-32.0,-118.0,,-118.0,,,180.0,-32.0,-51.0,274.0,-119.0,-74.0,-17.0,182.0,
226,5.0,Mozambique,MOZ,698.0,30366036.0,9905.635000000002,2020-12-22,306043.5,2.0,2021-05-30,2020-12-11,EPI_THIRD_WAVE,31157.684999999998,0.2891388260225997,195.71685286811885,-32.0,-118.0,,-118.0,,,180.0,-32.0,-51.0,274.0,-119.0,-74.0,-17.0,182.0,
227,5.0,Mozambique,MOZ,0.0,30366036.0,4672.629999999998,2021-06-20,0.0,3.0,2021-09-19,2021-05-30,EPI_THIRD_WAVE,31157.684999999998,0.2891388260225997,195.71685286811885,-32.0,-118.0,,-118.0,,,180.0,-32.0,-51.0,274.0,-119.0,-74.0,-17.0,182.0,
228,4.0,Mauritania,MRT,163.0,4525696.0,11834.954999999998,2020-05-28,76184.5,1.0,2020-11-02,2020-03-14,EPI_SECOND_WAVE,24778.71,1.0804967898860198,439.1667049664847,-66.0,-73.0,,-70.0,-70.0,,-70.0,-60.0,-66.0,292.0,-76.0,-46.0,-5.0,39.0,
229,4.0,Mauritania,MRT,326.0,4525696.0,9828.544999999998,2020-12-08,123246.0,2.0,2021-07-01,2020-11-02,EPI_SECOND_WAVE,24778.71,1.0804967898860198,439.1667049664847,-66.0,-73.0,,-70.0,-70.0,,-70.0,-60.0,-66.0,292.0,-76.0,-46.0,-5.0,39.0,
230,4.0,Martinique,MTQ,43.0,,,2020-04-19,0.0,1.0,2021-01-10,2020-03-07,EPI_SECOND_WAVE,,,,,,,,,,,,,,,,,,
231,4.0,Martinique,MTQ,55.0,,,2021-04-03,0.0,2.0,2021-07-01,2021-01-10,EPI_SECOND_WAVE,,,,,,,,,,,,,,,,,,
232,5.0,Malawi,MWI,186.0,18628747.0,14527.565000000002,2020-06-21,81393.74193548388,1.0,2020-12-12,2020-04-03,EPI_THIRD_WAVE,27774.315,0.6420184889515114,222.69613731938063,-64.0,-90.0,,-93.0,48.0,,261.0,,-93.0,311.0,-79.0,-35.0,17.0,249.0,
233,5.0,Malawi,MWI,967.0,18628747.0,7544.97,2021-01-05,231486.45161290318,2.0,2021-05-20,2020-12-12,EPI_THIRD_WAVE,27774.315,0.6420184889515114,222.69613731938063,-64.0,-90.0,,-93.0,48.0,,261.0,,-93.0,311.0,-79.0,-35.0,17.0,249.0,
234,5.0,Malawi,MWI,0.0,18628747.0,4686.370000000002,2021-06-17,0.0,3.0,2021-09-19,2021-05-20,EPI_THIRD_WAVE,27774.315,0.6420184889515114,222.69613731938063,-64.0,-90.0,,-93.0,48.0,,261.0,,-93.0,311.0,-79.0,-35.0,17.0,249.0,
235,5.0,Malaysia,MYS,121.0,31949777.0,8676.3,2020-03-22,983779.0,1.0,2020-07-07,2020-01-25,EPI_THIRD_WAVE,34368.020000000004,1.618164658864442,5576.947845363678,-4.0,-8.0,-4.0,-4.0,226.0,443.0,206.0,-4.0,62.0,17.0,-58.0,-25.0,-2.0,35.0,257.0
236,5.0,Malaysia,MYS,1187.0,31949777.0,18218.244999999995,2020-09-24,9781291.0,2.0,2021-04-09,2020-07-07,EPI_THIRD_WAVE,34368.020000000004,1.618164658864442,5576.947845363678,-4.0,-8.0,-4.0,-4.0,226.0,443.0,206.0,-4.0,62.0,17.0,-58.0,-25.0,-2.0,35.0,257.0
237,5.0,Malaysia,MYS,0.0,31949777.0,7367.930000000003,2021-04-11,0.0,3.0,2021-09-19,2021-04-09,EPI_THIRD_WAVE,34368.020000000004,1.618164658864442,5576.947845363678,-4.0,-8.0,-4.0,-4.0,226.0,443.0,206.0,-4.0,62.0,17.0,-58.0,-25.0,-2.0,35.0,257.0
238,4.0,Mayotte,MYT,51.0,,,2020-05-08,0.0,1.0,2020-12-08,2020-03-14,EPI_SECOND_WAVE,,,,,,,,,,,,,,,,,,
