,country,countrycode,date,new_per_day,new_per_day_smooth,dead_per_day,dead_per_day_smooth
25191,Costa Rica,CRI,2020-03-18,9.0,3.8571428571428568,0.0,0.0
25192,Costa Rica,CRI,2020-03-19,33.0,6.2142857142857135,1.0,0.07142857142857142
25193,Costa Rica,CRI,2020-03-20,26.0,8.071428571428571,1.0,0.14285714285714285
25194,Costa Rica,CRI,2020-03-21,0.0,8.071428571428571,0.0,0.14285714285714285
25195,Costa Rica,CRI,2020-03-22,0.0,7.428571428571429,0.0,0.14285714285714285
25196,Costa Rica,CRI,2020-03-23,4.0,7.428571428571429,0.0,0.14285714285714285
25197,Costa Rica,CRI,2020-03-24,41.0,10.357142857142858,0.0,0.14285714285714285
25198,Costa Rica,CRI,2020-03-25,19.0,11.428571428571427,0.0,0.14285714285714285
25199,Costa Rica,CRI,2020-03-26,24.0,13.142857142857142,0.0,0.14285714285714285
25200,Costa Rica,CRI,2020-03-27,0.0,12.5,0.0,0.14285714285714285
25201,Costa Rica,CRI,2020-03-28,30.0,14.571428571428573,0.0,0.14285714285714285
25202,Costa Rica,CRI,2020-03-29,32.0,16.857142857142858,0.0,0.14285714285714285
25203,Costa Rica,CRI,2020-03-30,32.0,18.857142857142858,0.0,0.14285714285714285
25204,Costa Rica,CRI,2020-03-31,19.0,19.214285714285715,0.0,0.14285714285714285
25205,Costa Rica,CRI,2020-04-01,0.0,18.571428571428573,0.0,0.14285714285714285
25206,Costa Rica,CRI,2020-04-02,33.0,18.571428571428573,0.0,0.07142857142857142
25207,Costa Rica,CRI,2020-04-03,28.0,18.714285714285715,0.0,0.0
25208,Costa Rica,CRI,2020-04-04,21.0,20.214285714285715,0.0,0.0
25209,Costa Rica,CRI,2020-04-05,20.0,21.642857142857146,0.0,0.0
25210,Costa Rica,CRI,2020-04-06,19.0,22.714285714285715,0.0,0.0
25211,Costa Rica,CRI,2020-04-07,19.0,21.142857142857142,0.0,0.0
25212,Costa Rica,CRI,2020-04-08,13.0,20.714285714285715,0.0,0.0
25213,Costa Rica,CRI,2020-04-09,16.0,20.142857142857142,0.0,0.0
25214,Costa Rica,CRI,2020-04-10,19.0,21.5,1.0,0.07142857142857142
25215,Costa Rica,CRI,2020-04-11,37.0,22.0,0.0,0.07142857142857142
25216,Costa Rica,CRI,2020-04-12,19.0,21.071428571428573,0.0,0.07142857142857142
25217,Costa Rica,CRI,2020-04-13,19.0,20.142857142857142,0.0,0.07142857142857142
25218,Costa Rica,CRI,2020-04-14,18.0,20.071428571428573,0.0,0.07142857142857142
25219,Costa Rica,CRI,2020-04-15,17.0,21.285714285714285,0.0,0.07142857142857142
25220,Costa Rica,CRI,2020-04-16,6.0,19.357142857142858,0.0,0.07142857142857142
25221,Costa Rica,CRI,2020-04-17,8.0,17.928571428571427,1.0,0.14285714285714285
25222,Costa Rica,CRI,2020-04-18,16.0,17.571428571428573,0.0,0.14285714285714285
25223,Costa Rica,CRI,2020-04-19,7.0,16.642857142857142,0.0,0.14285714285714285
25224,Costa Rica,CRI,2020-04-20,6.0,15.714285714285715,0.0,0.14285714285714285
25225,Costa Rica,CRI,2020-04-21,5.0,14.714285714285715,1.0,0.21428571428571427
25226,Costa Rica,CRI,2020-04-22,2.0,13.928571428571427,1.0,0.2857142857142857
25227,Costa Rica,CRI,2020-04-23,7.0,13.285714285714285,0.0,0.2857142857142857
25228,Costa Rica,CRI,2020-04-24,12.0,12.785714285714285,0.0,0.21428571428571427
25229,Costa Rica,CRI,2020-04-25,5.0,10.5,0.0,0.21428571428571427
25230,Costa Rica,CRI,2020-04-26,1.0,9.214285714285714,0.0,0.21428571428571427
25231,Costa Rica,CRI,2020-04-27,6.0,8.285714285714286,0.0,0.21428571428571427
25232,Costa Rica,CRI,2020-04-28,2.0,7.142857142857142,0.0,0.21428571428571427
25233,Costa Rica,CRI,2020-04-29,2.0,6.071428571428571,0.0,0.21428571428571427
25234,Costa Rica,CRI,2020-04-30,8.0,6.2142857142857135,0.0,0.21428571428571427
25235,Costa Rica,CRI,2020-05-01,8.0,6.2142857142857135,0.0,0.14285714285714285
25236,Costa Rica,CRI,2020-05-02,6.0,5.5,0.0,0.14285714285714285
25237,Costa Rica,CRI,2020-05-03,6.0,5.428571428571429,0.0,0.14285714285714285
25238,Costa Rica,CRI,2020-05-04,8.0,5.571428571428571,0.0,0.14285714285714285
25239,Costa Rica,CRI,2020-05-05,6.0,5.642857142857142,0.0,0.07142857142857142
25240,Costa Rica,CRI,2020-05-06,3.0,5.7142857142857135,0.0,0.0
25241,Costa Rica,CRI,2020-05-07,13.0,6.142857142857142,0.0,0.0
25242,Costa Rica,CRI,2020-05-08,6.0,5.7142857142857135,0.0,0.0
25243,Costa Rica,CRI,2020-05-09,4.0,5.642857142857142,0.0,0.0
25244,Costa Rica,CRI,2020-05-10,8.0,6.142857142857142,0.0,0.0
25245,Costa Rica,CRI,2020-05-11,7.0,6.2142857142857135,0.0,0.0
25246,Costa Rica,CRI,2020-05-12,12.0,6.928571428571429,0.0,0.0
25247,Costa Rica,CRI,2020-05-13,9.0,7.428571428571429,1.0,0.07142857142857142
25248,Costa Rica,CRI,2020-05-14,3.0,7.071428571428571,0.0,0.07142857142857142
25249,Costa Rica,CRI,2020-05-15,11.0,7.2857142857142865,0.0,0.07142857142857142
25250,Costa Rica,CRI,2020-05-16,15.0,7.928571428571429,1.0,0.14285714285714285
25251,Costa Rica,CRI,2020-05-17,13.0,8.428571428571429,0.0,0.14285714285714285
25252,Costa Rica,CRI,2020-05-18,10.0,8.571428571428571,2.0,0.2857142857142857
25253,Costa Rica,CRI,2020-05-19,10.0,8.857142857142858,0.0,0.2857142857142857
25254,Costa Rica,CRI,2020-05-20,19.0,10.0,0.0,0.2857142857142857
25255,Costa Rica,CRI,2020-05-21,0.0,9.071428571428571,0.0,0.2857142857142857
25256,Costa Rica,CRI,2020-05-22,0.0,8.642857142857142,0.0,0.2857142857142857
25257,Costa Rica,CRI,2020-05-23,21.0,9.857142857142858,0.0,0.2857142857142857
25258,Costa Rica,CRI,2020-05-24,8.0,9.857142857142858,0.0,0.2857142857142857
25259,Costa Rica,CRI,2020-05-25,7.0,9.857142857142858,0.0,0.2857142857142857
25260,Costa Rica,CRI,2020-05-26,12.0,9.857142857142858,0.0,0.2857142857142857
25261,Costa Rica,CRI,2020-05-27,21.0,10.714285714285714,0.0,0.21428571428571427
25262,Costa Rica,CRI,2020-05-28,5.0,10.857142857142858,0.0,0.21428571428571427
