,country,countrycode,date,new_per_day,new_per_day_smooth,dead_per_day,dead_per_day_smooth,new_tests,new_tests_smooth,positive_rate,positive_rate_smooth,cfr_smooth
25195,Costa Rica,CRI,2020-03-22,0.0,7.428571428571429,0.0,0.14285714285714285,227.0,150.0,0.0,0.10128430087418468,0.07692307692307691
25196,Costa Rica,CRI,2020-03-23,4.0,7.428571428571429,0.0,0.14285714285714285,157.0,148.0,0.025477707006369428,0.10158228575145214,0.07407407407407407
25197,Costa Rica,CRI,2020-03-24,41.0,10.357142857142858,0.0,0.14285714285714285,165.0,155.0,0.24848484848484848,0.11953626160016485,0.07407407407407407
25198,Costa Rica,CRI,2020-03-25,19.0,11.428571428571429,0.0,0.14285714285714285,29.0,137.0,0.6551724137931034,0.20478352665038554,0.06451612903225806
25199,Costa Rica,CRI,2020-03-26,24.0,13.142857142857142,0.0,0.14285714285714285,677.0,218.0,0.03545051698670606,0.16849450276126837,0.04444444444444444
25200,Costa Rica,CRI,2020-03-27,0.0,12.5,0.0,0.14285714285714285,487.0,270.0,0.0,0.13779792661014678,0.037037037037037035
25201,Costa Rica,CRI,2020-03-28,30.0,14.571428571428571,0.0,0.14285714285714285,158.0,271.0,0.189873417721519,0.1649227005703638,0.022988505747126436
25202,Costa Rica,CRI,2020-03-29,32.0,16.857142857142858,0.0,0.14285714285714285,222.0,271.0,0.14414414414414414,0.1855147211623844,0.017699115044247787
25203,Costa Rica,CRI,2020-03-30,32.0,18.857142857142858,0.0,0.14285714285714285,263.0,286.0,0.12167300380228137,0.19925690641894325,0.017699115044247787
25204,Costa Rica,CRI,2020-03-31,19.0,19.214285714285715,0.0,0.14285714285714285,153.0,284.0,0.12418300653594772,0.18149950042624313,0.01923076923076923
25205,Costa Rica,CRI,2020-04-01,0.0,18.571428571428573,0.0,0.14285714285714285,373.0,333.0,0.0,0.08790344131294263,0.01923076923076923
25206,Costa Rica,CRI,2020-04-02,33.0,18.571428571428573,0.0,0.07142857142857142,132.0,255.0,0.25,0.11855336745769891,0.00689655172413793
25207,Costa Rica,CRI,2020-04-03,28.0,18.714285714285715,0.0,0.0,110.0,202.0,0.2545454545454545,0.15491700382133525,0.0
25208,Costa Rica,CRI,2020-04-04,21.0,20.214285714285715,0.0,0.0,194.0,207.0,0.10824742268041238,0.14325614738689144,0.0
25209,Costa Rica,CRI,2020-04-05,20.0,21.642857142857142,0.0,0.0,444.0,238.0,0.04504504504504504,0.1290991332298773,0.0
25210,Costa Rica,CRI,2020-04-06,19.0,22.714285714285715,0.0,0.0,265.0,239.0,0.07169811320754717,0.12195986314491525,0.0
25211,Costa Rica,CRI,2020-04-07,19.0,21.142857142857142,0.0,0.0,162.0,240.0,0.11728395061728394,0.12097428372796327,0.0
25212,Costa Rica,CRI,2020-04-08,13.0,20.714285714285715,0.0,0.0,510.0,260.0,0.025490196078431372,0.12461574031059633,0.0
25213,Costa Rica,CRI,2020-04-09,16.0,20.142857142857142,0.0,0.0,263.0,278.0,0.060836501901140684,0.09759238343933072,0.0
25214,Costa Rica,CRI,2020-04-10,19.0,21.5,1.0,0.07142857142857142,154.0,285.0,0.12337662337662338,0.07885397898664055,0.0038461538461538455
25215,Costa Rica,CRI,2020-04-11,37.0,22.0,0.0,0.07142857142857142,156.0,279.0,0.23717948717948717,0.09727284534365123,0.0038461538461538455
25216,Costa Rica,CRI,2020-04-12,19.0,21.071428571428573,0.0,0.07142857142857142,154.0,238.0,0.12337662337662338,0.10846307081959099,0.0038167938931297704
25217,Costa Rica,CRI,2020-04-13,19.0,20.142857142857142,0.0,0.07142857142857142,106.0,215.0,0.1792452830188679,0.12382695222120824,0.003533568904593639
25218,Costa Rica,CRI,2020-04-14,18.0,20.071428571428573,0.0,0.07142857142857142,76.0,203.0,0.23684210526315788,0.14090668859919023,0.0033003300330033004
25219,Costa Rica,CRI,2020-04-15,17.0,21.285714285714285,0.0,0.07142857142857142,193.0,157.0,0.08808290155440414,0.14984850366718636,0.003144654088050314
25220,Costa Rica,CRI,2020-04-16,6.0,19.357142857142858,0.0,0.07142857142857142,214.0,150.0,0.028037383177570093,0.14516291527810482,0.003378378378378378
25221,Costa Rica,CRI,2020-04-17,8.0,17.928571428571427,1.0,0.14285714285714285,172.0,153.0,0.046511627906976744,0.1341822016395839,0.00689655172413793
25222,Costa Rica,CRI,2020-04-18,16.0,17.571428571428573,0.0,0.14285714285714285,227.0,163.0,0.07048458149779736,0.11036864368505676,0.0070921985815602835
25223,Costa Rica,CRI,2020-04-19,7.0,16.642857142857142,0.0,0.14285714285714285,52.0,149.0,0.1346153846153846,0.1119741810048798,0.0066445182724252485
25224,Costa Rica,CRI,2020-04-20,6.0,15.714285714285714,0.0,0.14285714285714285,96.0,147.0,0.0625,0.09529628343075582,0.006493506493506493
25225,Costa Rica,CRI,2020-04-21,5.0,14.714285714285714,1.0,0.21428571428571427,266.0,174.0,0.018796992481203006,0.06414698160476227,0.010169491525423728
25226,Costa Rica,CRI,2020-04-22,2.0,13.928571428571429,1.0,0.2857142857142857,301.0,190.0,0.006644518272425249,0.05251292685019386,0.014184397163120567
