case_rate,class,class_coarse,country,countrycode,date_peak_1,date_peak_2,date_peak_3,date_peak_4,date_peak_5,gni_per_capita,mortality_rate,peak_1,peak_1_per_rel_to,peak_2,peak_2_per_rel_to,peak_3,peak_3_per_rel_to,peak_4,peak_4_per_rel_to,peak_5,peak_5_per_rel_to,peak_case_rate,population,population_density,rel_to_constant,t0,t0_10_dead,t0_1_dead,t0_5_dead,t0_relative,total_confirmed,total_dead,wave_cfr_1,wave_duration_1,wave_duration_2,wave_duration_3,wave_duration_4,wave_duration_5,wave_end_1,wave_end_2,wave_end_3,wave_end_4,wave_end_5,wave_start_1,wave_start_2,wave_start_3,wave_start_4,wave_start_5,date_peak_6,peak_6,peak_6_per_rel_to,wave_duration_6,wave_end_6,wave_start_6,date_peak_7,peak_7,peak_7_per_rel_to,wave_duration_7,wave_end_7,wave_start_7,date_peak_8,peak_8,peak_8_per_rel_to,wave_duration_8,wave_end_8,wave_start_8
,17.0,3.0,Spain,ES,2020-04-05,2020-11-01,2021-01-24,2021-04-18,2021-07-25,,,7410.5,,20011.785714285714,,34196.42857142857,,8505.42857142857,,25876.928571428572,,,,,10000.0,2020-03-06,2020-03-04,2020-02-16,2020-03-03,,13754962.0,118943.0,,164.0,168.0,91.0,98.0,119.0,2020-06-28,2020-12-13,2021-03-14,2021-06-20,2021-10-17,2020-01-16,2020-06-28,2020-12-13,2021-03-14,2021-06-20,2022-01-16,132071.85714285713,,175.0,2022-04-10,2021-10-17,2022-05-15,17409.785714285714,,56.0,2022-06-05,2022-04-10,2022-07-10,21841.571428571428,,98.0,2022-09-11,2022-06-05
,17.0,3.0,France,FR,2020-05-31,2020-11-08,2021-04-04,2021-08-15,2022-01-30,,,555.4285714285714,,45401.5,,33312.21428571428,,21290.35714285714,,339029.78571428574,,,,,10000.0,2020-05-18,2020-03-10,2020-03-09,2020-03-09,,37989547.0,161667.0,,158.0,161.0,210.0,98.0,147.0,2020-06-28,2020-12-06,2021-07-04,2021-10-10,2022-03-06,2020-01-22,2020-06-28,2020-12-06,2021-07-04,2021-10-10,2022-04-10,134837.92857142858,,91.0,2022-06-05,2022-03-06,2022-07-10,116825.35714285714,,98.0,2022-09-11,2022-06-05,2022-10-16,55539.07142857143,,63.0,2022-11-13,2022-09-11
,15.0,3.0,United Kingdom of Great Britain and Northern Ireland,GB,2020-05-03,2020-11-15,2021-01-10,2022-01-09,2022-03-27,,,4668.357142857143,,24110.0,,57170.92857142857,,186600.2142857143,,84830.0,,,,,10000.0,2020-03-11,2020-03-09,2020-02-02,2020-03-04,,24159037.0,215345.0,,161.0,147.0,154.0,301.0,91.0,2020-07-12,2020-12-06,2021-05-09,2022-03-06,2022-06-05,2020-02-02,2020-07-12,2020-12-06,2021-05-09,2022-03-06,2022-07-17,25860.85714285714,,98.0,2022-09-11,2022-06-05,2022-10-16,9138.42857142857,,77.0,2022-11-27,2022-09-11,,,,,,
,14.0,3.0,Greece,GR,2020-04-05,2020-11-15,2021-04-11,2021-08-22,2022-01-09,,,76.57142857142857,,2605.714285714286,,3086.214285714286,,3210.285714285714,,31628.214285714286,,,,,10000.0,2020-03-25,2020-03-19,2020-03-10,2020-03-16,,5023163.0,34976.0,,96.0,238.0,154.0,98.0,245.0,2020-05-31,2021-01-24,2021-06-27,2021-10-03,2022-06-05,2020-02-25,2020-05-31,2021-01-24,2021-06-27,2021-10-03,2022-07-17,17603.428571428572,,105.0,2022-09-18,2022-06-05,2022-11-13,6282.142857142857,,98.0,2022-12-25,2022-09-18,,,,,,
,15.0,3.0,Honduras,HN,2020-07-12,2020-11-01,2021-02-07,2021-05-23,2021-08-22,,,789.9285714285714,,728.3571428571429,,1005.0714285714286,,945.0,,1492.4285714285713,,,,,10000.0,2020-05-04,2020-04-03,2020-03-29,2020-03-31,,463685.0,11063.0,,165.0,91.0,140.0,63.0,196.0,2020-08-23,2020-11-22,2021-04-11,2021-06-13,2021-12-26,2020-03-11,2020-08-23,2020-11-22,2021-04-11,2021-06-13,2022-02-13,920.7142857142857,,175.0,2022-06-19,2021-12-26,2022-08-07,748.2142857142857,,140.0,2022-11-06,2022-06-19,,,,,,
,17.0,3.0,Croatia,HR,2020-04-05,2020-07-19,2020-09-06,2020-12-13,2021-04-25,,,65.71428571428571,,82.78571428571429,,274.2142857142857,,3487.8571428571427,,2176.6428571428573,,,,,10000.0,2020-04-04,2020-04-03,2020-03-22,2020-03-29,,1261766.0,17515.0,,103.0,63.0,49.0,147.0,133.0,2020-06-07,2020-08-09,2020-09-27,2021-02-21,2021-07-04,2020-02-25,2020-06-07,2020-08-09,2020-09-27,2021-02-21,2021-11-21,4925.0,,175.0,2021-12-26,2021-07-04,2022-01-30,8414.214285714286,,168.0,2022-06-12,2021-12-26,2022-07-31,1333.357142857143,,161.0,2022-11-20,2022-06-12
,12.0,3.0,Hungary,HU,2020-04-19,2020-12-06,2021-03-28,2021-12-05,2022-02-06,,,84.5,,5404.285714285715,,8383.642857142857,,9741.5,,15384.92857142857,,,,,10000.0,2020-04-08,2020-03-27,2020-03-17,2020-03-23,,2181419.0,48439.0,,118.0,217.0,161.0,175.0,168.0,2020-06-28,2021-01-31,2021-07-11,2022-01-02,2022-06-19,2020-03-02,2020-06-28,2021-01-31,2021-07-11,2022-01-02,2022-08-14,2851.285714285714,,189.0,2022-12-25,2022-06-19,,,,,,,,,,,,
,15.0,3.0,Israel,IL,2020-04-05,2020-10-04,2021-01-17,2021-09-05,2022-01-30,,,509.07142857142856,,5651.142857142857,,7786.071428571428,,9081.57142857143,,69224.5,,,,,10000.0,2020-03-22,2020-03-28,2020-03-22,2020-03-25,,4756704.0,12026.0,,104.0,175.0,210.0,161.0,119.0,2020-05-24,2020-11-15,2021-06-13,2021-11-21,2022-03-20,2020-02-10,2020-05-24,2020-11-15,2021-06-13,2021-11-21,2022-04-03,12510.214285714286,,70.0,2022-05-29,2022-03-20,2022-07-10,10564.07142857143,,147.0,2022-10-23,2022-05-29,,,,,,
,8.0,3.0,India,IN,2020-09-20,2021-05-09,2022-01-30,2022-07-31,,,,91914.85714285714,,381160.14285714284,,283597.0,,19229.428571428572,,,,,,,10000.0,2020-03-30,2020-03-24,2020-03-12,2020-03-20,,44677106.0,530693.0,,381.0,315.0,112.0,252.0,,2021-02-14,2021-12-26,2022-04-17,2022-12-25,,2020-01-30,2021-02-14,2021-12-26,2022-04-17,,,,,,,,,,,,,,,,,,,
,16.0,3.0,Italy,IT,2020-03-29,2020-11-22,2021-03-28,2021-08-29,2022-01-23,,,5093.928571428572,,34145.78571428572,,22182.285714285714,,6377.428571428572,,178563.85714285713,,,,,10000.0,2020-03-01,2020-02-26,2020-02-20,2020-02-24,,25060503.0,184168.0,,165.0,217.0,140.0,105.0,140.0,2020-07-12,2021-02-14,2021-07-04,2021-10-17,2022-03-06,2020-01-29,2020-07-12,2021-02-14,2021-07-04,2021-10-17,2022-04-03,70759.07142857143,,98.0,2022-06-12,2022-03-06,2022-07-17,98636.35714285714,,98.0,2022-09-18,2022-06-12,2022-10-16,40671.357142857145,,98.0,2022-12-25,2022-09-18
